Symbol,Name,数据类型,寄存器,地址,归档,量程,报警类型,报警,函数,函数参数,依赖,DriverID,IOType,GroupID,功能码,字节序
COD_标样参考值,标样参考值,FLOAT,WORD,d:4;a:3;r:4099;l:2,TRUE,,NONE,,NONE,,,19,IN,4,,1032
COD_水样数据时间,水样数据时间,WDATE,WORD,d:4;a:3;r:4101;l:3,TRUE,,NONE,,NONE,,,19,IN,4,,
COD_水样实测值,水样实测值,FLOAT,WORD,d:4;a:3;r:4104;l:2,TRUE,,NONE,,NONE,,,19,IN,4,,1032
COD_水样数据标识,水样数据标识,STRING,WORD,d:4;a:3;r:4106;l:6,TRUE,,NONE,,NONE,,,19,IN,4,,
COD_标样数据时间,标样数据时间,WDATE,WORD,d:4;a:3;r:4112;l:3,TRUE,,NONE,,NONE,,,19,IN,4,,
COD_标样实测值,标样实测值,FLOAT,WORD,d:4;a:3;r:4115;l:2,TRUE,,NONE,,NONE,,,19,IN,4,,1032
COD_标样数据标识,标样数据标识,STRING,WORD,d:4;a:3;r:4117;l:6,TRUE,,NONE,,NONE,,,19,IN,4,,
COD_空白数据时间,空白数据时间,WDATE,WORD,d:4;a:3;r:4123;l:3,TRUE,,NONE,,NONE,,,19,IN,4,,
COD_空白实测值,空白实测值,FLOAT,WORD,d:4;a:3;r:4126;l:2,TRUE,,NONE,,NONE,,,19,IN,4,,1032
COD_空白数据标识,空白数据标识,STRING,WORD,d:4;a:3;r:4128;l:6,TRUE,,NONE,,NONE,,,19,IN,4,,
COD_零点核查数据时间,零点核查数据时间,WDATE,WORD,d:4;a:3;r:4134;l:3,TRUE,,NONE,,NONE,,,19,IN,4,,
COD_零点核查实测值,零点核查实测值,FLOAT,WORD,d:4;a:3;r:4137;l:2,TRUE,,NONE,,NONE,,,19,IN,4,,1032
COD_零点核查数据标识,零点核查数据标识,STRING,WORD,d:4;a:3;r:4139;l:6,TRUE,,NONE,,NONE,,,19,IN,4,,
COD_跨度核查数据时间,跨度核查数据时间,WDATE,WORD,d:4;a:3;r:4145;l:3,TRUE,,NONE,,NONE,,,19,IN,4,,
COD_跨度核查实测值,跨度核查实测值,FLOAT,WORD,d:4;a:3;r:4148;l:2,TRUE,,NONE,,NONE,,,19,IN,4,,1032
COD_跨度核查数据标识,跨度核查数据标识,STRING,WORD,d:4;a:3;r:4150;l:6,TRUE,,NONE,,NONE,,,19,IN,4,,
COD_加标回收数据时间,加标回收数据时间,WDATE,WORD,d:4;a:3;r:4156;l:3,TRUE,,NONE,,NONE,,,19,IN,4,,
COD_加标回收实测值,加标回收实测值,FLOAT,WORD,d:4;a:3;r:4159;l:2,TRUE,,NONE,,NONE,,,19,IN,4,,1032
COD_加标回收数据标识,加标回收数据标识,STRING,WORD,d:4;a:3;r:4161;l:6,TRUE,,NONE,,NONE,,,19,IN,4,,
COD_平行样数据时间,平行样数据时间,WDATE,WORD,d:4;a:3;r:4167;l:3,TRUE,,NONE,,NONE,,,19,IN,4,,
COD_平行样实测值,平行样实测值,FLOAT,WORD,d:4;a:3;r:4170;l:2,TRUE,,NONE,,NONE,,,19,IN,4,,1032
COD_平行样数据标识,平行样数据标识,STRING,WORD,d:4;a:3;r:4172;l:6,TRUE,,NONE,,NONE,,,19,IN,4,,
COD_系统时间,系统时间,WDATE,WORD,d:4;a:3;r:4224;l:3,TRUE,,NONE,,NONE,,,19,IN,40,,
COD_状态,状态,USHORT,WORD,d:4;a:3;r:4227;l:1,TRUE,,NONE,,NONE,,,19,IN,40,,
COD_测量模式,测量模式,USHORT,WORD,d:4;a:3;r:4228;l:1,TRUE,,NONE,,NONE,,,19,IN,40,,
